============================================================
  CNN TRAINING CONVERGENCE DATA (Medium Architecture)
  Extracted from ablation study logs
  All runs: 16->32->64->128 channels, FC 64, 50 epochs
============================================================

--- Run 1 (ablation_study_output.txt) - 1593 images ---
Epoch | MSE        | Time (s)
------+------------+----------
    1 | 0.037590 | 165.2
    2 | 0.033392 | 103.1
    3 | 0.032882 | 103.2
    4 | 0.032768 | 102.8
    5 | 0.032647 | 102.8
    6 | 0.031895 | 102.6
    7 | 0.031353 | 102.5
    8 | 0.031032 | 102.4
    9 | 0.031033 | 102.4
   10 | 0.030632 | 102.5
   11 | 0.030784 | 102.7
   12 | 0.030634 | 102.3
   13 | 0.030827 | 103.2
   14 | 0.030719 | 102.4
   15 | 0.030711 | 102.5
   16 | 0.030461 | 102.7
   17 | 0.030557 | 102.6
   18 | 0.030447 | 102.6
   19 | 0.030151 | 102.3
   20 | 0.030116 | 104.2
   21 | 0.030015 | 104.1
   22 | 0.029417 | 103.8
   23 | 0.029285 | 104.2
   24 | 0.028783 | 104.4
   25 | 0.028918 | 104.2
   26 | 0.028809 | 103.7
   27 | 0.028494 | 103.7
   28 | 0.028666 | 103.7
   29 | 0.028145 | 104.1
   30 | 0.028136 | 104
   31 | 0.027919 | 103.4
   32 | 0.028172 | 102.2
   33 | 0.028133 | 101.5
   34 | 0.027961 | 101.6
   35 | 0.028043 | 103
   36 | 0.027860 | 102.5
   37 | 0.027883 | 102.6
   38 | 0.028009 | 102.5
   39 | 0.027712 | 102
   40 | 0.027792 | 102.6
   41 | 0.027781 | 101.9
   42 | 0.027902 | 101.8
   43 | 0.027939 | 101.8
   44 | 0.027716 | 101.8
   45 | 0.027877 | 101.8
   46 | 0.027765 | 101.8
   47 | 0.027600 | 101.8
   48 | 0.027635 | 103
   49 | 0.027812 | 103.7
   50 | 0.027673 | 103.7

--- Run 2 (ablation_study_v2.txt) - 1593 images ---
Epoch | MSE        | Time (s)
------+------------+----------
    1 | 0.036602 | 108.6
    2 | 0.033313 | 104
    3 | 0.032740 | 103.9
    4 | 0.033139 | 103.9
    5 | 0.032982 | 103.9
    6 | 0.032512 | 104
    7 | 0.032342 | 104
    8 | 0.031460 | 104
    9 | 0.030697 | 103.9
   10 | 0.030147 | 104
   11 | 0.029675 | 103.9
   12 | 0.029412 | 103.9
   13 | 0.029162 | 103.9
   14 | 0.029007 | 103.9
   15 | 0.028574 | 104.2
   16 | 0.028451 | 104.5
   17 | 0.028471 | 103.8
   18 | 0.028367 | 104.1
   19 | 0.028474 | 104.4
   20 | 0.028261 | 102.8
   21 | 0.028372 | 103.9
   22 | 0.028416 | 102.8
   23 | 0.028334 | 102.1
   24 | 0.028359 | 102.1
   25 | 0.028160 | 102.2
   26 | 0.028128 | 101.9
   27 | 0.028090 | 102.3
   28 | 0.028126 | 102.5
   29 | 0.027993 | 101.8
   30 | 0.028001 | 102.1
   31 | 0.027905 | 102
   32 | 0.028111 | 101.9
   33 | 0.027937 | 102.2
   34 | 0.028077 | 101.9
   35 | 0.027751 | 102
   36 | 0.027851 | 102
   37 | 0.027891 | 102.2
   38 | 0.027729 | 102.3
   39 | 0.027835 | 102.4
   40 | 0.027556 | 102.2
   41 | 0.027666 | 102.8
   42 | 0.027606 | 102.2
   43 | 0.027609 | 102.6
   44 | 0.027449 | 102.3
   45 | 0.027703 | 101.7
   46 | 0.027435 | 101.9
   47 | 0.027557 | 103
   48 | 0.027502 | 102.9
   49 | 0.027514 | 103.1
   50 | 0.027368 | 103.6

--- Run 3 (ablation_study_v3.txt) - Small arch, 1593 images ---
Epoch | MSE        | Time (s)
------+------------+----------
    1 | 0.039159 | 106
    2 | 0.033669 | 102.2
    3 | 0.032900 | 103.1
    4 | 0.033282 | 102.7
    5 | 0.032936 | 102.8
    6 | 0.032628 | 101.7
    7 | 0.032715 | 101.6
    8 | 0.032422 | 101.5
    9 | 0.031918 | 101.6
   10 | 0.031490 | 101.5
   11 | 0.031006 | 101.5
   12 | 0.030893 | 101.6
   13 | 0.030496 | 101.7
   14 | 0.030663 | 101.4
   15 | 0.030318 | 101.4
   16 | 0.030253 | 101.4
   17 | 0.030125 | 101.4
   18 | 0.030004 | 101.4
   19 | 0.029618 | 101.4
   20 | 0.029336 | 101.4
   21 | 0.029244 | 101.4
   22 | 0.029044 | 101.4
   23 | 0.028881 | 101.5
   24 | 0.028779 | 101.4
   25 | 0.028550 | 101.4
   26 | 0.028583 | 101.4
   27 | 0.028363 | 101.5
   28 | 0.028228 | 101.4
   29 | 0.028103 | 101.4
   30 | 0.028032 | 101.4
   31 | 0.027946 | 101.4
   32 | 0.027898 | 101.5
   33 | 0.027953 | 101.4
   34 | 0.027861 | 101.4
   35 | 0.027909 | 101.4
   36 | 0.027968 | 101.4
   37 | 0.027862 | 101.4
   38 | 0.027885 | 101.4
   39 | 0.027779 | 101.4
   40 | 0.027630 | 101.4
   41 | 0.027659 | 101.4
   42 | 0.027473 | 101.3
   43 | 0.027620 | 101.3
   44 | 0.027459 | 101.4
   45 | 0.027412 | 101.3
   46 | 0.027599 | 101.3
   47 | 0.027421 | 102.2
   48 | 0.027523 | 102.5
   49 | 0.027395 | 101.7
   50 | 0.027518 | 101.2

--- Run 4 (ablation_study_v4.txt) - Small arch, 1534 images ---
Epoch | MSE        | Time (s)
------+------------+----------
    1 | 0.036983 | 155
    2 | 0.033536 | 127.8
    3 | 0.033681 | 127.7
    4 | 0.033332 | 127.7
    5 | 0.033457 | 127.7
    6 | 0.032893 | 127.7
    7 | 0.032478 | 127.8
    8 | 0.032766 | 127.7
    9 | 0.032846 | 127.7
   10 | 0.032670 | 127.7
   11 | 0.032467 | 127.7
   12 | 0.032539 | 127.8
   13 | 0.032411 | 127.7
   14 | 0.032305 | 127.7
   15 | 0.031936 | 127.7
   16 | 0.031832 | 127.7
   17 | 0.031087 | 127.8
   18 | 0.030881 | 127.7
   19 | 0.030371 | 127.7
   20 | 0.030144 | 127.7
   21 | 0.029659 | 127.8
   22 | 0.029716 | 127.7
   23 | 0.029303 | 127.7
   24 | 0.029270 | 127.7
   25 | 0.029064 | 127.7
   26 | 0.029174 | 127.7
   27 | 0.028940 | 127.7
   28 | 0.028713 | 127.7
   29 | 0.028720 | 127.7
   30 | 0.028670 | 127.7
   31 | 0.028529 | 127.7
   32 | 0.028492 | 127.7
   33 | 0.028354 | 127.7
   34 | 0.028363 | 127.7
   35 | 0.028181 | 127.7
   36 | 0.028399 | 127.6
   37 | 0.028090 | 127.7
   38 | 0.028229 | 127.6
   39 | 0.028207 | 127.6
   40 | 0.027954 | 127.7
   41 | 0.027840 | 127.7
   42 | 0.027964 | 127.7
   43 | 0.027913 | 127.7
   44 | 0.027895 | 127.7
   45 | 0.027543 | 127.7
   46 | 0.027879 | 127.7
   47 | 0.027874 | 127.7
   48 | 0.027942 | 127.6
   49 | 0.027832 | 127.6
   50 | 0.027771 | 127.6

--- Run 5 (ablation_study_v5.txt) - Small arch, 1593 images ---
Epoch | MSE        | Time (s)
------+------------+----------
    1 | 0.039798 | 107.9
    2 | 0.033619 | 105.7
    3 | 0.033161 | 105.5
    4 | 0.032943 | 105.5
    5 | 0.033035 | 105.6
    6 | 0.032742 | 105.7
    7 | 0.032809 | 105.7
    8 | 0.032334 | 105.7
    9 | 0.032072 | 105.6
   10 | 0.030860 | 105.6
   11 | 0.030508 | 105.6
   12 | 0.029985 | 105.8
   13 | 0.029491 | 105.5
   14 | 0.029649 | 105.5
   15 | 0.029079 | 105.8
   16 | 0.028939 | 107.2
   17 | 0.028872 | 107.1
   18 | 0.028658 | 106.2
   19 | 0.028576 | 106.1
   20 | 0.028371 | 106.3
   21 | 0.028436 | 106.1
   22 | 0.028379 | 105.9
   23 | 0.028338 | 106.1
   24 | 0.028235 | 106.4
   25 | 0.028050 | 106
   26 | 0.028130 | 105.9
   27 | 0.028340 | 106.3
   28 | 0.028328 | 106.1
   29 | 0.028120 | 106.4
   30 | 0.027966 | 106.1
   31 | 0.028073 | 106.8
   32 | 0.027950 | 106.2
   33 | 0.027977 | 106.2
   34 | 0.027754 | 106.1
   35 | 0.027637 | 106.3
   36 | 0.027787 | 106.8
   37 | 0.027690 | 106.3
   38 | 0.027458 | 106
   39 | 0.027454 | 106.1
   40 | 0.027380 | 106.2
   41 | 0.027579 | 106.5
   42 | 0.027309 | 107.1
   43 | 0.027317 | 106
   44 | 0.027187 | 106
   45 | 0.027288 | 106.5
   46 | 0.027329 | 107.5
   47 | 0.027242 | 106.9
   48 | 0.027171 | 106.6
   49 | 0.027228 | 106.9
   50 | 0.027088 | 107.1

